Altium Designer Pick and Place Locations
D:\PCB_Projects\CUSTOM_ESP32\Project Outputs for CUSTOM_ESP32\Pick Place\Pick Place for ESP32(Protoype).csv

========================================================================================================================
File Design Information:

Date:       16-01-26
Time:       13:50
Revision:   ed3006622f59bd433f8954ff99842773900d99f7
Variant:    Protoype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J2","CONNECTOR","BottomLayer","DIP_24_PINS_2.5MM","1500.000","50.000","90","Connector Header Through Hole 24 position 0.100" (2.54mm)"
"J1","CONNECTOR","BottomLayer","DIP_24_PINS_2.5MM","1500.000","950.000","90","Connector Header Through Hole 24 position 0.100" (2.54mm)"
"D1","DIODE AQ3045-01ETG","TopLayer","SOD882","337.756","736.614","90","TVS DIODE 5.3VWM 12VC SOD882"
"D3","DIODE AQ3045-01ETG","TopLayer","SOD882","337.756","821.676","270","TVS DIODE 5.3VWM 12VC SOD882"
"R8","5.1K","TopLayer","RESC1005X37N","410.000","830.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R7","5.1K","TopLayer","RESC1005X37N","410.000","730.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R14","5.1K","TopLayer","RESC1005X37N","405.000","150.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R15","5.1K","TopLayer","RESC1005X37N","404.977","254.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"J4","217179-0001","TopLayer","FP-2171790001-MFG","157.579","220.079","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J3","217179-0001","TopLayer","FP-2171790001-MFG","157.579","779.921","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"D7","DIODE AQ3045-01ETG","TopLayer","SOD882","337.756","231.971","270","TVS DIODE 5.3VWM 12VC SOD882"
"D2","DIODE AQ3045-01ETG","TopLayer","SOD882","340.000","630.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D6","DIODE AQ3045-01ETG","TopLayer","SOD882","340.000","370.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D8","DIODE AQ3045-01ETG","TopLayer","SOD882","337.756","153.393","90","TVS DIODE 5.3VWM 12VC SOD882"
"C1","100nF, 50V","TopLayer","CAPC1005X55N","435.000","630.000","0","CAP CER 0.1UF 50V X7R 0402"
"C10","100nF, 50V","TopLayer","CAPC1005X55N","440.000","370.000","0","CAP CER 0.1UF 50V X7R 0402"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","715.630","749.587","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2364.409","500.000","270","20.5dBm ESP32-S3FN8 Chip 2.4GHz SMD WiFi Modules ROHS"
"SW2","PushButton PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1400.000","750.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PushButton PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1390.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R28","0 Ohm","TopLayer","RESC1005X37N","1375.000","425.011","180","RES 0 OHM JUMPER 1/16W 0402"
"R26","0 Ohm","TopLayer","RESC1005X37N","1375.000","505.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R23","10K","TopLayer","RESC1005X37N","995.000","830.000","90","RES SMD 10K OHM 1% 1/16W 0402"
"R22","0 Ohm","TopLayer","RESC1005X37N","2133.989","151.524","0","RES 0 OHM JUMPER 1/16W 0402"
